scientificName,med_lat,med_long,n_chesshire,area_m2,area_ha,spherical_geometry,mean_doy,med_doy,quant10,quant90,flight_season
Andrena fracta,31.85,-109.275,219,2266780433121.8076,226678043.3121808,TRUE,98.31770833333334,94,75,131,56
Andrena fragilis,41.3425,-77.0365,250,2365107281406.4614,236510728.14064616,TRUE,164.93162393162393,168,146.8,187,40.19999999999999
Andrena frigida,43.027,-108.73,603,15402662008553.92,1540266200.855392,TRUE,110.57291666666666,111,58.900000000000006,153,94.1
Andrena fulgida,41.797,-73.774,2,11510490374.47931,1151049.037447931,TRUE,203,203,193.4,212.6,19.19999999999999
Andrena fulvipennis,31.135,-81.352,81,1925539459671.3755,192553945.96713755,TRUE,279.15384615384613,284,245,305.2,60.19999999999999
Andrena furva,33.965999999999994,-117.75200000000001,4,5540071215.824585,554007.1215824585,TRUE,109.5,109.5,105.5,113.5,8
Andrena fuscicauda,38.379,-121.677,77,523933304149.35034,52393330.41493504,TRUE,137.86153846153846,140,97.80000000000001,170.20000000000002,72.4
Andrena gardineri,37.454,-82.941,79,2478565505386.6665,247856550.53866667,TRUE,139.52459016393442,137,99,163,64
Andrena geranii,40.808499999999995,-88.197,176,5157052195319.067,515705219.5319068,TRUE,150.03361344537817,149,126,176.4,50.400000000000006
Andrena gibberis,39.648,-119.534,10,476091106629.7241,47609110.66297241,TRUE,123.3,132.5,93.39999999999999,144.3,50.90000000000002
Andrena gnaphalii,34.808,-119.012,19,128236087863.46985,12823608.786346985,TRUE,118.0625,124.5,94.5,129.5,35
Andrena gordoni,41.8535,-120.128,10,658775668913.1659,65877566.89131659,TRUE,152.875,155.5,119.2,181.3,62.10000000000001
Andrena grindeliae,37.5135,-122.0265,6,8333844841.4698715,833384.4841469872,TRUE,250.83333333333334,253,238,261.5,23.5
Andrena hallii,41.26,-111.443,130,2342672575731.9146,234267257.57319146,TRUE,163.272,165,139.4,186.60000000000002,47.20000000000002
Andrena hamulata,39.002,-120.1445,22,56220070547.77176,5622007.054777176,TRUE,197.41176470588235,201,183.2,211.8,28.600000000000023
Andrena hastulata,32.407,-106.002,15,641948167584.9226,64194816.75849226,TRUE,262.3076923076923,263,237.4,285.8,48.400000000000006
Andrena haynesi,38.596,-103.59700000000001,76,2101978604606.3682,210197860.46063682,TRUE,223.85714285714286,236,176.8,255.1,78.29999999999998
Andrena helianthi,41.057,-95.9265,396,6073068574339.534,607306857.4339534,TRUE,237.44444444444446,242,218,259,41
Andrena helianthiformis,39.56,-97.962,30,748271361904.9294,74827136.19049294,TRUE,175.95833333333334,177,155.2,192.5,37.30000000000001
Andrena hemileuca,44.564,-122.418,76,530696348568.6499,53069634.856864996,TRUE,126.23809523809524,129,102,150.6,48.599999999999994
Andrena heraclei,39.2685,-78.3885,84,1272743293458.7104,127274329.34587105,TRUE,130.82539682539684,130,111.6,157,45.400000000000006
Andrena hermosa,35.884,-119.272,5,48896793.05657959,4889.679305657959,TRUE,76.8,69,68.4,92.99999999999999,24.59999999999998
Andrena hicksi,41.041,-107.879,27,213954771153.75714,21395477.115375716,TRUE,164.54166666666666,164.5,128.5,190.70000000000002,62.20000000000002
Andrena hilaris,39.031,-76.5455,92,2452454540099.934,245245454.00999343,TRUE,134.51923076923077,130.5,94.80000000000001,164.9,70.1
Andrena hippotes,41.531,-88.0635,734,7485057454241.253,748505745.4241253,TRUE,136.86666666666667,136,109,167,58
Andrena hirticincta,42.723,-74.193,793,5000909030976.428,500090903.0976428,TRUE,244.2263157894737,245,224,268,44
Andrena hurdi,37.1245,-120.93700000000001,10,14435770306.23706,1443577.030623706,TRUE,94.875,95,63.800000000000004,115.1,51.29999999999999
Andrena hypoleuca,36.07,-120.376,39,399116744053.3452,39911674.405334525,TRUE,113.75757575757575,116,81.80000000000001,134,52.19999999999999
Andrena ignota,34.195,-79.763,1,4476512829.695923,447651.2829695923,TRUE,NA,NA,NA,NA,NA
Andrena ilicis,38.8,-77.1965,78,2085855830644.05,208585583.06440502,TRUE,122.05882352941177,125.5,82.7,157.6,74.89999999999999
Andrena illini,39.28,-87.845,283,2388261657211.336,238826165.72113362,TRUE,117.36363636363636,115,95,139.6,44.599999999999994
Andrena illinoiensis,40.015,-97.409,349,6607723719549.291,660772371.9549291,TRUE,126.83333333333334,126.5,105,151.10000000000002,46.10000000000002
Andrena illustris,34.438,-117.823,11,17305880759.94989,1730588.0759949891,TRUE,109.5,90.5,75.2,146.29999999999995,71.09999999999995
Andrena imitatrix,40.084,-86.134,1141,8060513112505.213,806051311.2505213,TRUE,121.41296928327645,120,92,157,65
