scientificName,phylo_rich,phylo_simp,eigen1_plantGenus,eigen2_plantGenus,eigen1_plantFam,eigen2_plantFam,rich_genus,simpson_genus,rich_fam,simpson_fam,n_globi
Ceratina cockerelli,1101.083501,468.089226203473,-0.0339962851532513,0.0234359816393708,-0.0312551391763694,-0.135380217017014,11,2.82857142857143,8,2.70223325062035,33
Ceratina diodonta,390.70254,390.70254,-0.0407494369044997,0.0228533100475735,0.23422489757893,-0.246401041049936,1,1,1,1,1
Ceratina dupla,7195.857403,534.417557423827,0.29054169744065,-0.210568300195175,-0.256045945345548,0.0701549951348331,137,45.8232061548124,53,6.62102134803421,764
Ceratina melanoptera,971.971754,522.301301540319,-0.231639580107106,0.180852551291359,-0.167692427903338,-0.108275007485815,6,5.45161290322581,6,5.45161290322581,13
Ceratina micheneri,705.005013,478.050640152301,-0.0462854217514959,0.0363706089393328,-0.424594566153052,-0.0221363629638581,6,6,3,2,6
Ceratina neomexicana,4338.251748,490.690471147755,0.0139485902902677,-0.0059223048064719,-0.368600742284078,0.0595657985870795,68,12.4672692205877,30,2.76758535582065,812
Ceratina pacifica,2991.967288,533.444952663323,-0.138186844014552,0.0622325052758913,0.0393822757659834,0.0175792843522774,49,11.741571948353,20,9.03558154517072,854
Ceratina strenua,4122.2067790003,529.386491018802,0.2891767328444,-0.244478282242813,-0.205131184027799,0.20906918639937,68,25.6576543660943,27,5.56061445878533,265
Ceratina tejonensis,914.369799,518.207829820925,-0.0307447366460688,0.0432516359256789,-0.00607768907087437,-0.0958812428925319,6,4.57142857142857,5,4,8
Ceratina timberlakei,390.70254,390.70254,-0.00966307725884916,-0.109479280511258,0.266190658056598,-0.253330355779999,1,1,1,1,2
Chelostoma californicum,617.318185,449.545720968696,-0.26880015596379,0.0891819217950589,0.118357025428435,-0.214375825375582,3,1.81481481481481,3,1.81481481481481,7
Chelostoma cockerelli,390.70254,390.70254,-0.0486852486876551,0.024016505364989,0.331365717739881,-0.263841441536486,1,1,1,1,1
Chelostoma incisulum,550.566108,427.75280150999,-0.104865732524351,0.0354197501738286,0.342980781813718,-0.269650273562715,3,1.68421052631579,2,1.28,8
Chelostoma philadelphi,1572.60431,448.22864900766,-0.0339465550264191,-0.00188731439320262,0.240382000680702,-0.16549871463356,14,1.71156156940599,10,1.69913386235154,181
Chelostoma rapunculi,597.639543,415.820180911192,-0.0317356439998201,0.0185357431847497,0.13702708804946,-0.196504181006144,3,1.29292929292929,3,1.29292929292929,16
Coelioxys alternatus,4394.5531779994,535.817442525519,0.204414044802482,-0.0547132084303184,-0.202969342789569,0.13969806576782,68,33.1291512915129,33,8.81925343811395,134
Coelioxys apacheorum,947.484938,494.84718054433,-0.0567666758089653,0.12909722727325,-0.251557104068678,0.291217798220047,10,9.32258064516129,5,2.80582524271845,17
