scientificName,phylo_rich,phylo_simp,eigen1_plantGenus,eigen2_plantGenus,eigen1_plantFam,eigen2_plantFam,rich_genus,simpson_genus,rich_fam,simpson_fam,n_globi
Perdita martini,609.4160440000002,477.6331263650661,-0.04325382763788261,0.024535521766305156,0.22166591614484088,-0.22176036074804123,3,2.8000000000000003,3,2.8000000000000003,28
Perdita meconis,390.70254000000006,390.7025400000001,-0.04079955446190813,0.022762251749134873,0.22684460584616153,-0.23684564205203473,1,1,1,1,1
Perdita mentzeliarum,390.70253999999994,390.70254,-0.03960482273087726,0.025471510875761168,-0.4353117852545875,-0.01675033339725147,1,1,1,1,1
Perdita mesillensis,517.4824209999999,409.9986703836736,-0.017587762145262132,0.15135326597738222,-0.43534750323568944,-0.017028188384365022,4,2.858823529411765,2,1.1589825119236883,27
Perdita mimosae,390.70254000000006,390.70254000000006,-0.12014966918630782,0.06417585034109397,0.4387254610860786,0.44526002905625867,1,1,1,1,2
Perdita minima,682.0931960032001,402.76135744463795,-0.048449632206918204,0.022982016292417695,0.20805174326067097,-0.20535751984326892,4,1.136094674556213,3,1.0878186968838526,48
Perdita missionis,396.97599500000007,393.5107829138774,-0.04677886538001296,0.02480817367444901,0.2285436261600372,-0.22149750413672023,2,1.7999999999999998,1,1,3
Perdita moabensis,899.9511210000001,513.4318455595783,-0.013811989857608061,0.17677440078407838,-0.268103382133371,-0.05354610620777534,6,5.12,5,4.129032258064516,16
Perdita mormonica,390.70254000029996,390.7025400002997,-0.05600653290459329,0.02701828272380713,0.2597555296929905,-0.2905407366266334,1,1,1,1,4
Perdita morula,842.8563839999996,413.1537528737837,-0.07757648972440273,0.029417554117071996,0.25450961756015256,-0.2928368552970294,10,1.7988078906286953,5,1.1585570214192131,195
Perdita mucronata,390.70254,390.70254,-0.061957403317707126,0.03309495711352631,0.22684460584616153,-0.23684564205203473,1,1,1,1,1
Perdita munda,518.2333959999999,399.0727248852022,-0.010324160346390368,0.13842696677271912,-0.43548270445860177,-0.016658942435302717,5,2.3996494303242772,2,1.0555127216653817,74
Perdita nasuta,653.5916409999999,417.8465703297572,-0.044687664480500607,0.1077948987030706,0.1347720452517971,-0.23344079150796587,4,1.2712950600801065,3,1.2685851318944843,69
Perdita nuda,936.8561760000001,411.69258116505165,0.06983522780489772,0.19461303095444255,-0.4361770812263045,-0.012519274119138755,14,5.869918699186994,5,1.133833536904554,114
Perdita octomaculata,555.827144,404.4241099620296,0.36535724529072144,0.0015928884888120871,-0.4343281150694545,-0.016658783400821,7,3.256189451022605,2,1.03702434007542,55
Perdita pectidis,514.4367770002999,460.74198126622895,-0.06406209481175754,0.033756544520764244,-0.24219965008726424,-0.13615849703252889,2,1.923076923076923,2,1.923076923076923,5
Perdita pedernalensis,390.70254,390.70254,-0.03722624067783905,0.0163302011910561,0.21967260854028606,-0.21846838389487402,1,1,1,1,2
Perdita perpallida,427.78294400000004,397.7477168411955,-0.05857817911499737,0.046315458522909615,0.4387254610860787,0.4452600290562588,2,1.2294557097118464,1,1,48
Perdita perpulchra,723.5949619999999,406.5588588192358,0.0844672536736528,0.18938996177231732,-0.4358237104944271,-0.015647976124335095,13,5.55115511551155,3,1.084461637653127,174
Perdita phymatae,1232.7963669999995,410.1833025459604,-0.0028140180623566886,0.15096855691698272,-0.43407289012544525,-0.008002516621650175,20,3.506570194359992,8,1.1508734180272888,787
Perdita pilonotata,390.70253999999994,390.70253999999983,-0.05121188727590753,0.02751849257663817,0.33136571773988144,-0.26384144153648564,1,1,1,1,2
Perdita polygonellae,390.70253999999994,390.70253999999983,-0.035728464862102634,0.021064381498302732,0.2120833599774709,-0.2527804787987817,1,1,1,1,11
Perdita polytropica,543.0623000000002,442.94347837096177,-0.052138181872204,0.029074565846759774,0.33936980049371307,0.05931381626241797,3,1.6375939849624062,2,1.5805515239477506,33
Perdita punctifera,390.70253999999994,390.70253999999983,-0.048737752526409994,0.026589344867734663,0.22299299212520163,-0.2296720495922006,1,1,1,1,110
Perdita punctosignata,507.5134340000001,395.2020290004546,-0.1233336328702977,0.06608673554430236,0.4399415771065495,0.44714339015591203,2,1.0395884370406663,2,1.0395884370406663,103
Perdita rhois,794.4296859999998,478.40010895478065,-0.04476249541892499,0.0326498508869673,0.3028756380420337,-0.11830899846783799,6,2.630350194552529,4,2.5037037037037035,52
Perdita robustula,587.3511790000001,480.4187433998728,-0.06327015462771597,0.03579689680892781,0.36980685685734266,0.1860037685666658,3,3,2,1.7999999999999998,3
Perdita salicis,750.0965760000001,402.56527049130705,-0.07129379225524543,-0.4313690677276372,0.20948434067391347,-0.26937489514515334,4,1.10309542082374,4,1.10309542082374,308
Perdita sexmaculata,1041.3872780003003,470.60286804701053,-0.28928707762906847,0.06352357465435689,0.31000638779085493,-0.27478837302739983,8,2.6470588235294112,7,2.9889298892988934,90
Perdita similis,1125.9566679999996,408.5708180946,-0.0018326500945593524,0.14985992377069193,-0.4344602577870015,-0.01066608372851435,19,3.4359946649042956,6,1.1396540841259595,1775
Perdita sonorensis,390.70254000000006,390.70254000000006,-0.12014966918630784,0.06417585034109398,0.4387254610860786,0.4452600290562588,1,1,1,1,3
Perdita sphaeralceae,390.70253999999994,390.70253999999983,-0.2608288485732285,0.16639959600439505,0.25965136688413154,-0.283680245536904,1,1,1,1,20
Perdita stathamae,749.826275,427.68949380561514,-0.14145848072474898,0.07266962423380796,0.4490424512523241,0.45481425908518913,4,1.3986690865093767,4,1.398669086509377,68
Perdita stottleri,390.70253999999994,390.70254,-0.040089337256760595,0.02282754248751119,-0.4353117852545873,-0.01675033339725151,1,1,1,1,1
Perdita subfasciata,1279.7273899996999,430.2142581550232,-0.0014793412272643114,0.16851375782117553,-0.4331982291662026,-0.008149417043260327,24,3.926968686979487,9,1.3962059899623687,3411
Perdita swenki,572.4278709999999,407.58499129204,0.29549916711797564,0.149670715281451,-0.4353700293206936,-0.016708712009338256,8,5.575289575289575,2,1.0132444522410315,152
