scientificName,med_lat,med_long,n_chesshire,area_m2,area_ha,spherical_geometry,mean_doy,med_doy,quant10,quant90,flight_season
Perdita perpulchra,32.289,-106.853,101,1792039322475.62,179203932.247562,TRUE,241.341176470588,242,194.4,278.6,84.2
Perdita phymatae,37.867,-110.483,53,1099813813732.81,109981381.373281,TRUE,243.714285714286,241,229.4,260,30.6
Perdita physalidis,33.647,-115.994,9,18323081015.5938,1832308.10155938,TRUE,178.428571428571,116,91.6,290,198.4
Perdita picturata,29.3105,-96.955,2,2733845490.32666,273384.549032666,TRUE,271,271,271,271,0
Perdita pilonotata,29.566,-104.9015,12,292178051151.089,29217805.1151089,TRUE,221.428571428571,240,177.2,242.4,65.2
Perdita planifrons,35.573,-109.713,2,1753836290.03099,175383.629003099,TRUE,241,241,241,241,0
Perdita plucheae,35.845,-114.2525,14,172450786483.958,17245078.6483958,TRUE,149.909090909091,133,124,220,96
Perdita polita,36.22,-119.362,5,7792090232.71524,779209.023271524,TRUE,207,195.5,160.5,262.7,102.2
Perdita politissima,31.88,-109.751,1,7792650446.21083,779265.044621083,TRUE,NA,NA,NA,NA,NA
Perdita polycarpae,33.744,-114.919,19,125697348140.114,12569734.8140114,TRUE,270.0625,271,228.5,304,75.5
Perdita polygonellae,29.6425,-81.269,8,99156918815.9797,9915691.88159797,TRUE,286,291,272.6,296.9,24.3
Perdita polytropica,33.712,-115.401,79,229094075612.445,22909407.5612445,TRUE,127.109589041096,116,94,166.4,72.4
Perdita pratti,31.603,-97.1275,36,450733860886.775,45073386.0886775,TRUE,188,174.5,142.5,245.5,103
Perdita prionopsidis,37.9865,-97.864,6,27188432348.2245,2718843.23482245,TRUE,241.8,245,233,247.4,14.4
Perdita propinqua,34.7465,-119.083,2,2889904982.81323,288990.498281323,TRUE,127,127,127,127,0
Perdita prosopidis,33.814,-116.2845,10,32323885390.4725,3232388.53904725,TRUE,110.333333333333,113,100,120,20
Perdita proxima,34.743,-117.336,21,72446485030.1419,7244648.50301419,TRUE,282.823529411765,294,253.6,301,47.4
Perdita pulliventris,38.315,-119.935,1,3219971024.05888,321997.102405888,TRUE,228,228,228,228,0
Perdita punctifera,31.88,-109.751,29,88317551015.1457,8831755.10151457,TRUE,197.592592592593,198,125.4,271,145.6
Perdita punctifrons,34.065,-117.3685,6,168760281.595465,16876.0281595465,TRUE,222.75,211,204.6,250.3,45.7
Perdita punctosignata,33.3855,-113.562,182,1770598032811.93,177059803.281193,TRUE,125.994117647059,119.5,94.8,168,73.2
Perdita punctulata,34.715,-116.345,188,303954040455.134,30395404.0455134,TRUE,102.571428571429,100,73,130,57
Perdita purpurascens,30.183,-96.936,15,25707845987.9101,2570784.59879101,TRUE,142.214285714286,132.5,127.3,181.8,54.5
Perdita pusilla,34.929,-118.73,3,7915440938.24271,791544.093824271,TRUE,128,128,128,128,0
Perdita pusillissima,31.573,-108.425,1,2367069469.07726,236706.946907726,TRUE,235,235,235,235,0
Perdita pygidialis,32.311,-112.764,3,1356729409.49172,135672.940949172,TRUE,87,87,87,87,0
Perdita pyrifera,34.953,-120.44,1,5483464989.41043,548346.498941043,TRUE,166,166,166,166,0
Perdita quadraticeps,31.539,-110.756,1,1835216740.3334,183521.67403334,TRUE,192,192,192,192,0
Perdita quadrisignata,36.229,-120.1085,10,92912648711.3956,9291264.87113956,TRUE,118,118.5,115.9,119.7,3.80000000000001
Perdita rectangulata,38.843,-106.93,27,851190069229.961,85119006.9229961,TRUE,241.142857142857,237,208.1,275.2,67.1
Perdita rehni,30.008,-105.1625,14,346482041214.386,34648204.1214386,TRUE,220.25,240,162.5,244,81.5
Perdita repens,37.232,-121.696,1,1873133483.8951,187313.34838951,TRUE,NA,NA,NA,NA,NA
Perdita reperta,35.4,-108.489,7,96287362517.6918,9628736.25176918,TRUE,257.8,256,254.4,263.2,8.79999999999998
Perdita retusa,33.399,-110.288,15,190871598362.734,19087159.8362734,TRUE,266.454545454545,255,247,304,57
Perdita rhodogastra,32.661,-112.759,50,636809242427.667,63680924.2427667,TRUE,182.682926829268,199,134,225,91
Perdita rhodura,35.005,-106.692,17,675553072174.255,67555307.2174255,TRUE,249.923076923077,256,223.2,274.2,51
Perdita rhois,33.956,-117.372,185,250734264715.204,25073426.4715204,TRUE,187.601265822785,180,155,225,70
Perdita rhondae,36.511,-117.411,1,2604350081.50788,260435.008150788,TRUE,NA,NA,NA,NA,NA
Perdita rivalis,35.4235,-118.4285,24,94301596009.3094,9430159.60093094,TRUE,212.52380952381,214,191,238,47
Perdita robustula,33.798,-116.5115,44,104955650790.649,10495565.0790649,TRUE,108.305555555556,105.5,92,132,40
Perdita rozeni,32.434,-114.539,2,11949714018.1574,1194971.40181574,TRUE,86,86,86,86,0
Perdita salicis,37.675,-113.98,93,2105565999849.62,210556599.984962,TRUE,141.87012987013,141,105,189,84
Perdita salviae,33.258,-116.375,9,912019660.298981,91201.9660298981,TRUE,115,114,108,122,14
Perdita schlingeri,39.984,-116.269,1,797482879.133167,79748.2879133167,TRUE,NA,NA,NA,NA,NA
Perdita scitula,37.9815,-121.805,16,166942883080.089,16694288.3080089,TRUE,244.071428571429,256,231,286.9,55.9
Perdita scopata,29.8165,-97.643,18,1129695656204.09,112969565.620409,TRUE,136.529411764706,109,93.8,245.6,151.8
Perdita scotti,36.456,-118.006,15,31279778792.2675,3127977.87922675,TRUE,274.25,280,258.4,286.9,28.5
Perdita scutellaris,33.61,-115.0795,24,27383863605.2788,2738386.36052788,TRUE,174.9375,172.5,106,268.5,162.5
Perdita sejuncta,34.844,-109.8525,2,39799659888.2341,3979965.98882341,TRUE,256,256,237.6,274.4,36.8
Perdita semicaerulea,32.16,-107.665,206,888938858450.299,88893885.8450299,TRUE,163.967948717949,147,120,234.5,114.5
Perdita semicrocea,31.982,-109.0365,18,70284769644.2904,7028476.96442904,TRUE,210.461538461538,230,130.2,260,129.8
Perdita semilutea,33.612,-115.999,3,94511835.8991508,9451.18358991508,TRUE,108.333333333333,105,102.6,115.4,12.8
Perdita sexfasciata,34.132,-114.486,19,56886318925.6204,5688631.89256204,TRUE,115.909090909091,108,105,133,28
Perdita sexmaculata,31.337,-109.092,139,2837871365441.17,283787136.544117,TRUE,142.153846153846,117,90,239,149
Perdita sexnotata,34.291,-115.014,7,41072226203.4768,4107222.62034768,TRUE,113.5,109.5,101,130,29
Perdita shinnersi,30.183,-96.936,5,7386436004.07609,738643.600407609,TRUE,129.8,129,121.4,138.8,17.4
Perdita sidae,29.4415,-105.0965,14,239964408912.804,23996440.8912804,TRUE,230.666666666667,236,221.4,239.8,18.4
Perdita similis,39.139,-110.7995,168,1289744303119.56,128974430.311956,TRUE,239.445859872611,241,214,262.8,48.8
Perdita snellingi,37.33,-118.089,9,40668385770.5303,4066838.57705303,TRUE,230.428571428571,237,194,254.6,60.6
Perdita snowii,40.233,-108.27,7,202970238358.524,20297023.8358524,TRUE,216,209,183.7,253.9,70.2
Perdita socia,36.2735,-118.002,2,1407584130.24346,140758.413024346,TRUE,279,279,279,279,0
Perdita sonorensis,34.72,-116.047,45,495513571777.131,49551357.1777131,TRUE,110.55,110,89,127,38
Perdita speciosa,38.64,-110.63,3,24125386576.1015,2412538.65761015,TRUE,207,207,179,235,56
Perdita sphaeralceae,31.326,-106.078,133,1032369040380.24,103236904.038024,TRUE,218.02752293578,234,152.8,270,117.2
Perdita stathamae,32.22,-110.283,77,889340442063.98,88934044.2063981,TRUE,121.835616438356,119,101.2,140.8,39.6
Perdita stenopyga,36.653,-114.881,4,27797358902.9935,2779735.89029935,TRUE,164,164,158.4,169.6,11.2
Perdita stephanomeriae,34.106,-115.071,5,154519260634.111,15451926.0634111,TRUE,208.666666666667,182,167.6,260.4,92.8
Perdita stepheni,28.345,-99.613,1,2666292917.54023,266629.291754023,TRUE,101,101,101,101,0
Perdita sternalis,31.22,-104.241,5,39545044692.0982,3954504.46920982,TRUE,122.75,120.5,87.2,160.1,72.9
Perdita stottleri,40.1335,-108.319,54,779529426742.119,77952942.6742119,TRUE,239.72,237,222.9,258.3,35.4
Perdita suavis,33.096,-116.474,1,4392379810.29152,439237.981029152,TRUE,125,125,125,125,0
Perdita subfasciata,39.957,-112.367,75,765496184306.781,76549618.4306781,TRUE,229.538461538462,233,193,267,74
Perdita subvestita,35.71,-111.354,8,75371367407.1707,7537136.74071707,TRUE,263,262.5,257.5,269,11.5
Perdita sulphuripes,36.511,-117.411,1,1288451274.68978,128845.127468978,TRUE,NA,NA,NA,NA,NA
Perdita swenki,44.983,-93.291,63,2469737597165.59,246973759.716559,TRUE,234,235.5,214.8,254.1,39.3
Perdita swezeyi,38.982,-119.763,17,200345695816.117,20034569.5816117,TRUE,205.25,211.5,178.4,224,45.6
Perdita taeniata,36.285,-108.706,1,4976825234.1696,497682.52341696,TRUE,264,264,264,264,0
Perdita tarda,32.314,-106.779,1,2843164915.943,284316.4915943,TRUE,NA,NA,NA,NA,NA
Perdita tenebrosa,31.592,-109.24,1,5936832885.02475,593683.288502475,TRUE,234,234,234,234,0
Perdita tessellata,40.642,-116.933,3,8780868385.37784,878086.838537784,TRUE,159.666666666667,163,155,163,8
Perdita thelypodii,38.06,-118.0995,10,98111432877.1754,9811143.28771754,TRUE,208.8,208.5,164.4,245.1,80.7
Perdita thermophila,34.001,-115.0425,68,235827262194.497,23582726.2194497,TRUE,235.084745762712,256,164.8,283.2,118.4
Perdita timberlakei,33.956,-117.372,84,71464165900.7853,7146416.59007853,TRUE,249.365853658537,257.5,195.5,296.8,101.3
Perdita titania,32.994,-115.086,1,2782224417.63405,278222.441763405,TRUE,115,115,115,115,0
Perdita torchioi,32.457,-112.632,1,2885242349.96547,288524.234996547,TRUE,106,106,106,106,0
Perdita tortifoliae,38.596,-111.418,85,976142374368.609,97614237.4368609,TRUE,148.272727272727,148,124,167.6,43.6
Perdita townesi,29.309,-81.542,10,92560848800.7324,9256084.88007324,TRUE,107.142857142857,105,92.6,123,30.4
Perdita townsendi,35.552,-109.855,5,56463736858.2715,5646373.68582715,TRUE,266.25,264,257.6,276.7,19.1
Perdita translineata,30.667,-96.317,5,37581726794.4902,3758172.67944902,TRUE,239,264,179.2,274,94.8
Perdita triangulifera,33.761,-115.679,107,972263807182.747,97226380.7182747,TRUE,118.274509803922,113,93,140.8,47.8
